abase,lower
abdomen,belly
abnormality,irregularity
abominably,dreadfully
abreast,side by side
abstemious,temperate
abstractedly,distractedly
abstruseness,mysteriousness
abuse,manipulate
abysmally,appallingly
accepted,usual
accidentally,fortuitously
accounts,financial statement
accouterments,accessories
accreditation,official approval
accuracy,correctness
acerbic,mordant
achiever,high flier
acquiescence,compliance
acquirement,gaining
acreage,land
additional,bonus
adherent,believer
adulterous,double-crossing
aeration,airing
affected,unnatural
affecting,distressing
affirm,pronounce
affordable,reasonably priced
afloat,floating
agile,lithe
agreed,decided
album,baby book
alcove,recess
Allie's,associates
allot,give
allotted,agreed
altered,changed
alternation,vacillation
alternative,different
altruistically,unselfishly
amateurish,crude
amiss,wrong
amongst,among
amortize,repay
amount,quantity
amputate,cut off
amputation,taking away
ancient,very old
angle,slant
angrily,furiously
annals,archives
annihilation,extermination
annoying,irritating
annuity,pension
antic,adventure
antithesis,reverse
antithetical,adversative
apathetically,indifferently
apogee,highest point
apology,explanation
apparel,clothes
apparently,rumor has it that
applied,useful
appreciably,palpably
apprehensive,worried
approach,deal with
appurtenances,paraphernalia
apropos,about
aptly,appropriately
arbitrary,illogical
arbitrator,judge
archdiocese,see
archway,pergola
armaments,missiles
armistice,settlement
arrangement,agreement
arranger,director
arrears,debts
arrived,indoors
arriving,incoming
artlessness,inexperience
askance,doubtfully
assassinate,kill in cold blood
assuage,moderate
astounded,flabbergasted
astral,stellar
astronomical,astrophysical
attendants,followers
attentiveness,special treatment
auditorium,audience
augmented,greater than before
auspices,patronage
auspicious,promising
authorities,establishment
average,mean
averse,unenthusiastic
awaken,promote
awkward,difficult to maneuver
bachelor,single
backache,bad back
backside,rear
backtrack,back down
balderdash,rubbish
balloon,helium balloon
bamboozled,confused
bandit,brigand
banish,send away
bankruptcy,liquidation
barometer,guide
bathtub,tub
bawling,crying
bearing,impact
beautiful,wonderful
becalm,rest
beckon,summon
bedclothes,comforter
before,previous to
beggar,tramp
belie,contradict
belongings,personal effects
below,not more than
benign,compassionate
benignly,kindly
betraying,informative
bewildered,taken aback
biennially,every other year
bifurcate,split
bigger,larger
biggest,largest
bigmouth,blabbermouth
bilateral,two-pronged
biology,ecology
blastoff,explosion
bleat,complain
block,check
blundering,clumsy
blunted,dull
bodywork,carcass
bonnet,sun-hat
bookshelf,ledge
booming,thriving
boorish,ill-mannered
borer,tool
borough,municipality
bountiful,unstinted
bowed,convex
bowls,crockery
boycott,impose sanctions
brassy,loud
bridle,check
briefcase,suitcase
brimming,overflowing
briny,salty
bronzed,suntanned
bruising,yellowing
brunt,burden
brushwood,kindling
brusque,curt
brutally,cruelly
brute,beast
buddies,followers
budge,shunt
bungle,make a mess of
bungling,unskilled
bunker,ditch
bunkum,hogwash
burble,go on about something
bureaucratic,ceremonial
bustle,activity
byway,side street
cackle,guffaw
cagey,evasive
callused,scratchy
calmed,pleased
camouflage,concealment
cancellation,abandonment
cannily,shrewdly
canter,trot
capacious,large
carnage,butchery
carryout,accomplish
casement,windowpane
case's,gear
cataloging,labeling
caustic,mordant
cavernous,echoing
cease,conclude
celebratory,triumphant
cellar,vault
cemented,covered
centralized,federal
chance,opportunity
chances,probability
changeable,unstable
character,reputation
charily,with awareness
Charity,kindness
charmingly,alluringly
chassis,skeleton
chastising,imprisoning
chatty,friendly
chauffeur,give somebody a ride
checker,organizer
checking,read-through
cheerlessness,dinginess
cherish,revere
childlessness,aridity
chime's,bells
chinos,wash pants
chintzy,gaudy
chirping,twittering
chitchat,chat
chore's,farm duties
chorister,chorus member
christening,launch
chubby,rotund
chuckle,chortle
circumstances,conditions
citizen's,society
civilization,people
civilized,elegant
civilly,courteously
clairvoyant,diviner
clandestinely,illegally
clanging,ringing
clannish,family
clasp,fastening
classless,equal
classmate's,equals
clench,scrunch
closeness,nearness
clutter,mess
coagulate,congeal
coalition,association
coating,varnish
coded,roundabout
coerce,compel
coexisting,contemporaneous
cohabit,share a house
colic,tummy pain
college,institution
collision,crash
colors,insignia
combustible,explosive
comeuppance,what you deserve
comically,ridiculously
commemorate,observe
comments,observations
commercial,money-making
commiseration,pity
companionable,friendly
comparison,evaluation
competency,proficiency
completing,carrying out
component's,workings
composition,arrangement
comprehensive,wide-ranging
computerize,mechanize
concerned,worried
concurrent,acquiescent
conflagration,fire
confluence,joining together
connected,together
conniving,scheming
connoisseur,enthusiast
conscientiousness,delicacy
conscript,recruit
consequential,resultant
consider,deliberate
consign,transfer
consoling,cheering
conspicuously,noticeably
constellation,gathering
contaminate,sully
contemplation,deliberation
content,make happy
contrast,draw a distinction
contrasting,distinct
contretemps,row
contrition,sorrow
coordinator,manager
copious,abundant
copycat,impressionist
corkscrew,curved
corpus,body
cosmological,astrophysical
costing,estimate
cottage,log cabin
counterbalance,balance
coupon,voucher
course,way
court's,bench
covered,roofed
covering,casing
covetous,envious
crassly,ridiculously
craving,appetite
Creator,designer
credence,weight
credentials,certificate
creditably,respectably
credo,principles
credulous,uncritical
crookedness,wickedness
crossroad's,turning point
culpability,responsibility
cultivated,refined
culturally,ethnically
curtly,brusquely
customer's,consumers
cuteness,good looks
dangle,sway
darken,grow dim
deactivate,neutralize
debasing,undignified
debut,introduction
deceit,pretense
deceptiveness,inaccuracy
decipher,work out
decipherable,readable
decomposed,musty
defame,offend
defeatism,loser mentality
defensive,guilty
defiance,boldness
defined,definite
definiteness,unwaveringness
dejectedly,miserably
deliciousness,attractiveness
deliverance,liberation
delude,mislead
denim's,wash pants
denizen,native
denotation,sense
densely,heavily
department,specialty
depravity,wantonness
deprecating,offensive
deride,disparage
derisive,scornful
derrick,platform
desegregate,reunite
deserter,renegade
desires,wishes
despairingly,miserably
desperado,crook
destabilize,threaten
deterrence,preclusion
developed,urban
device,contrivance
devices,diplomacy
dictum,instruction
differ,clash
difference,variation
dimness,softness
diploma,qualification
direct,preside over
directed,aimed at
directions,information
director,boss
dirtiness,griminess
dirty,soil
disapproving,judgmental
disapprovingly,contemptuously
disarrange,mess up
disciplined,restricted
discouragingly,unpromisingly
discoverer,explorer
disfigured,spoiled
dished,hollow
dishevel,unsettle
dishonestly,by corrupt means
dishonored,defiled
disillusioned,disenchanted
disincentive,lack of encouragement
disinclined,loath
disintegrate,split up
disinter,unearth
diskette,floppy
dismay,shock
disobliging,rude
disorganized,confused
disparaging,weary
disparate,unequal
dispenser,point
dispensing,providing
dispersal,diffusion
dispirit,cast down
displease,offend
dispossess,divest
disputable,arguable
disqualified,ineligible
dissatisfaction,unhappiness
dissect,analyze
distrust,disbelief
distrustfully,warily
disturbingly,distressingly
divan,sofa
divulging,sensational
docile,obedient
dogmatism,rigor
domain,field
donor,patron
downer,pity
downsize,downscale
downy,soft
drabness,plainness
drawing,depiction
dreamer,idealist
dreamlike,weird
dredge,scour
dressy,stylish
drills,military exercises
drink,taste
drizzly,wet
drool,slobber
drooping,loose
dryness,understatement
during,all through
dustiness,squalidness
dutifully,respectfully
dwindle,fade
dying,failing
earnestly,solemnly
easygoing,laid-back
eatable,palatable
eccentricity,idiosyncrasy
ecclesiastic,minister
ecclesiastical,clerical
edginess,shakiness
edible,not poisonous
electrifying,exhilarating
elongate,draw out
eloquence,articulacy
emaciated,wasted
emancipated,liberated
emasculated,feeble
embark,go aboard
embezzler,dishonest person
emblazon,splash
embody,symbolize
emission,emanation
emphasis,accent
emphatic,vigorous
empty,unfilled
enamored,charmed
encompassing,on all sides of
encouraged,positive
endearment,sweet nothing
enemy,rival
energizing,reviving
engender,stimulate
engraving,impression
enigma,mystery
enliven,cheer up
enormity,extent
entangled,knotted
entombment,committal
entrap,capture
entrust,commend
envelop,encircle
envoy,diplomat
ephemeral,transient
epithet,appellation
equably,steadily
equity,justice
eradication,obliteration
escalate,soar
eschew,steer clear of
establish,set up
estrange,set against
etched,carved
evacuation,migration
evict,force to leave
evidence,prove
evoke,stir up
exaltation,happiness
excellent,exceptional
except,apart from
exception,exclusion
excitedly,elatedly
excretion,flow
excruciating,awful
exhilarated,joyous
exigency,necessity
exile,?migr?
expandable,supple
expel,banish
explicate,spell out
expressionless,inexpressive
expressive,representative
extemporize,do off-the-cuff
extemporized,ad lib
extended,total
extermination,killing
extradition,expulsion
extricate,remove
exuberantly,raucously
eyeful,thing of beauty
fabrication,forgery
fabulous,amazing
facade,front elevation
facet,quality
facetious,tongue in cheek
faded,discolored
failure,stoppage
faithfulness,realism
faithlessly,disloyally
falls,cascade
familiar,traditional
famously,particularly
Farmer,planter
farming,undeveloped
fascination,lure
fashionably,modishly
faster,nearer
fatherly,protective
fatiguing,arduous
fatten,build up
favorably,fortunately
fearfully,uneasily
fetching,handsome
fighters,battalion
figure's,information
figurines,china doll
filmy,gauzy
filthiness,grubbiness
financier,supporter
firebrand,hothead
fireplace,fire
flabbergasted,astounded
flaky,blistering
flamboyance,splendor
flaming,angry
flask,container
flexible,bendable
flightiness,capriciousness
flighty,fickle
flirtatious,teasing
florid,baroque
fluffiness,flimsiness
flummox,flabbergast
fodder,feed
foolishly,unwisely
foolishness,silliness
footfall,step
forager,searcher
forebear,precursor
foregone,inescapable
forename,maiden name
forestall,anticipate
forested,wooded
forever,perpetually
forewarning,sign
formality,form
formless,amorphous
fortress,fort
fostering,development
fouled,ruined
fractional,incomplete
freebie,free go
freeloader,user
frivolities,goings-on
fudging,elusion
furtive,clandestine
fussbudget,worrywart
gaggle,throng
garbage,nonsense
gargantuan,massive
garland,wreath
garret,top story
garrulous,talkative
gaudiness,flamboyance
generality,simplification
generalization,sweeping statement
genially,warmly
genteel,refined
genuflection,bow
giveaway,good buy
glacial,cool
glibly,fluently
glibness,smoothness
gloom,obscurity
goggles,specs
governance,power
gracelessness,coarseness
grainy,gritty
grandparent,forerunner
grate,grille
grave,burial chamber
gravely,grimly
grenade's,bullets
griddle,grill
grime,dust
gripe,objection
gripes,heartburn
groom,tutor
grounding,preparation
ground's,justification
grumbler,complainer
grumbling,upset
guiltily,sneakily
gumbo,bouillabaisse
gutless,timid
guzzle,scoff
gyrating,circling
habitat,surroundings
habits,lifestyle
halcyon,heavenly
halfheartedly,lackadaisically
handgun,small arm
handout's,gifts
haphazard,messy
hapless,luckless
hardheartedly,uncaringly
hardheartedness,pitilessness
harmed,injured
harm's,tribulations
harness,utilize
hatch,insert
haughtily,conceitedly
hawker,marketer
headgear,headdress
headphone's,receiver
headstrong,reckless
health,shape
hearing,examination
hearsay,unconfirmed report
heartwarming,cheering
heavily,solidly
heavyweight,durable
heckle,boo
heighten,increase
helpfully,usefully
hiccup,hitch
higher,privileged
hiker,backpacker
hilltop,crest
historical,past
hoarse,raucous
hobble,shamble
hobgoblin,bad fairy
holdup,difficulty
honeyed,mellifluous
honoring,reverence
hoodwink,fool
hopefully,with a bit of luck
horrible,dreadful
housebreak,tame
hubbub,racket
hulking,large
humanizing,improving
humankind,people
humdrum,routine
humorless,solemn
hustle,bundle
hutch,cage
hypersensitive,touchy
ignored,unseen
imaginable,that you can think of
imbibe,absorb
imitator,impressionist
immaturely,babyishly
immediately,at once
immoderate,excessive
impatiently,excitedly
impeachment,accusation
imperceptibly,slight
imperfection,flaw
imperishable,never-ending
impinge,impose
implacable,hardhearted
implication,proposition
impoliteness,rudeness
importantly,significantly
importune,plague
impound,put in store
impoverished,on the breadline
imprecise,hazy
improbably,oddly
impulsively,on impulse
incisively,cleverly
incisor,fang
incompatibility,inappropriateness
inconspicuously,unassumingly
incorporeal,disembodied
incorrigibly,insuppressibly
increasing,rising
indecision,vacillation
indecisiveness,vagueness
indiscreetly,imprudently
indiscretion,misdemeanor
indulgently,adoringly
industrialist,manufacturer
industriously,assiduously
ineligible,disallowed
inevitability,predictability
inexorable,unalterable
infallibly,reliably
infamously,notoriously
infertile,barren
infinite,endless
inflames,alight
inflammable,combustible
infuriate,annoy
inheritor,heir
injunction,ban
inkling,idea
innuendo,allusion
insatiably,avidly
inscribed,decorated
insignia,sign
insincerely,disingenuously
insolently,impudently
insolvency,liquidation
instantly,right away
insubordinate,noncompliant
insular,narrow
intellectually,academically
intelligible,understandable
intensify,strengthen
interface,boundary
